Door Model,Size,Glass Options,Jamb Sizes,Hinge Finish,Sill Finish,Handle Prep,Swing
,1/0 x 3/0 x 1/0 x 6/8 S2,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,No Bore,Left Hand Outswing
,1/0 x 3/0 x 1/0 x 6/8 S2-5L,,,,,Other (Please Specify),
,1/0 x 3/0 x 1/0 x 8/0 S2-5L,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3-5L,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3-5L,,,,,,
,,,,,,,
Ventura,3/0 x 6/8 SS,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,1/0 x 3/0 x 1/0 x 6/8 S2,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Portland,3/0 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,6/0 x 8/0 DS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Tacoma,3/0 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,6/0 x 8/0 DS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Meridian 4lt,3/6 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,,Seedy,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Meridian 9lt,3/6 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,,Seedy,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
